Printout for SDDS file injector_cryo.s

       s              Sx             Sy            ecnx           ecny     
       m              m              m              m              m       
---------------------------------------------------------------------------
  8.481045e+00   2.488758e-04   1.823111e-04   5.246834e-07   4.903448e-07 
  8.600529e+00   2.428938e-04   1.855980e-04   5.246834e-07   4.903448e-07 
  8.600529e+00   2.428938e-04   1.855980e-04   5.246834e-07   4.903448e-07 
  8.966427e+00   2.248117e-04   1.960881e-04   5.246834e-07   4.903448e-07 
  8.966427e+00   2.248117e-04   1.960881e-04   5.246834e-07   4.903448e-07 
  9.039847e+00   2.212317e-04   1.982639e-04   5.246834e-07   4.903448e-07 
  9.039847e+00   2.212317e-04   1.982639e-04   5.246834e-07   4.903448e-07 
  9.262957e+00   2.104673e-04   2.050074e-04   5.246834e-07   4.903448e-07 
  9.262957e+00   2.104673e-04   2.050074e-04   5.246834e-07   4.903448e-07 
  9.342025e+00   2.066974e-04   2.074422e-04   5.246834e-07   4.903448e-07 
  9.342025e+00   2.066974e-04   2.074422e-04   5.246834e-07   4.903448e-07 
  9.420892e+00   2.029627e-04   2.098928e-04   5.246834e-07   4.903448e-07 
  9.420892e+00   2.029627e-04   2.098928e-04   5.246834e-07   4.903448e-07 
  9.749670e+00   1.877017e-04   2.203306e-04   5.246834e-07   4.903448e-07 
  9.749670e+00   1.877017e-04   2.203306e-04   5.246834e-07   4.903448e-07 
  9.749670e+00   1.877017e-04   2.203306e-04   5.246834e-07   4.903448e-07 
  1.015362e+01   1.697823e-04   2.335897e-04   5.246834e-07   4.903448e-07 
  1.015362e+01   1.697823e-04   2.335897e-04   5.246834e-07   4.903448e-07 
  1.015362e+01   1.697823e-04   2.335897e-04   5.246834e-07   4.903448e-07 
  1.095937e+01   1.381128e-04   2.611893e-04   5.246834e-07   4.903448e-07 
  1.095937e+01   1.381128e-04   2.611893e-04   5.246834e-07   4.903448e-07 
  1.095937e+01   1.381128e-04   2.611893e-04   5.246834e-07   4.903448e-07 
  1.102465e+01   1.358739e-04   2.634815e-04   5.246834e-07   4.903448e-07 
  1.102465e+01   1.358739e-04   2.634815e-04   5.246834e-07   4.903448e-07 
  1.160539e+01   1.190364e-04   2.841774e-04   5.246834e-07   4.903448e-07 
  1.177239e+01   1.292340e-04   2.578942e-04   5.246834e-07   4.903448e-07 
  1.180543e+01   1.341259e-04   2.465046e-04   5.246834e-07   4.903448e-07 
  1.197243e+01   1.547478e-04   1.959544e-04   5.246834e-07   4.903448e-07 
  1.200588e+01   1.580055e-04   1.871372e-04   5.246834e-07   4.903448e-07 
  1.217288e+01   1.601489e-04   1.587197e-04   5.246834e-07   4.903448e-07 
  1.323901e+01   9.223310e-05   8.099713e-05   5.246834e-07   4.903448e-07 
  1.323901e+01   9.223310e-05   8.099713e-05   5.246834e-07   4.903448e-07 
  1.388648e+01   7.389561e-05   6.360208e-05   5.246834e-07   4.903448e-07 
  1.388648e+01   7.389561e-05   6.360208e-05   5.246834e-07   4.903448e-07 
  1.395162e+01   7.390628e-05   6.450063e-05   5.246834e-07   4.903448e-07 
  1.395162e+01   7.390628e-05   6.450063e-05   5.246834e-07   4.903448e-07 
  1.395162e+01   7.390628e-05   6.450063e-05   5.246834e-07   4.903448e-07 
